file,length,dtype
Statistik_BE_Befolkningens storlek och struktur_BE034.json,11076,int
Statistik_MI_MI011.json,168,int
Statistik_AR_Avslutade_AR001.json,3780,mixed
Statistik_UTKU_UT_Utb efter grundskolan_Högskolan vid Åland_UT072.json,300,int
Statistik_INLO_LO_LO011.json,1728,int
Utredning_Äldre utredningar eller scenarier_Skatteutredning_62_EG.json,384,mixed
Statistik_UTKU_UT_Avslutade_UT005.json,2952,int
"Statistik_TUTRSJ_SJ_Handelsflottan, sysselsättning, resande_SJ006.json",42,int
Statistik_VA_VA016.json,1134,mixed
Statistik_KO_Avslutade_KO003.json,3042,mixed
Statistik_FOHA_HA_Avslutade_HA009.json,176,int
Statistik_TUTRSJ_TR_TR005.json,2040,int
Statistik_MI_MI007.json,161,int
Statistik_FOHA_HA_HA037.json,145,mixed
Statistik_UTKU_KU_KU004.json,168,int
Utredning_Utbildning och arbetsmarknad 2035_POPDIS.json,19584,int
Utredning_Utbildning och arbetsmarknad 2035_LABOUT.json,204,int
Statistik_FOHA_HA_HA036.json,312,int
Statistik_AR_Avslutade_AR016.json,35904,int
Statistik_OF_1. Kommunernas och kommunalförbundens rapporterade ekonomiuppgifter_1.1 Bokslut_OF027.json,2331,int
Statistik_UTKU_KU_KU005.json,300,int
Statistik_FOHA_HA_Avslutade_HA008.json,252,mixed
Statistik_BE_Familjer och hushåll_BE019.json,4896,int
Statistik_TUTRSJ_TR_TR004.json,1020,int
Statistik_MI_MI006.json,266,mixed
Utredning_Utbildning och arbetsmarknad 2035_RECROCCU.json,2040,mixed
Statistik_INLO_LO_LO006.json,3108,int
Statistik_KO_Avslutade_KO002.json,299,mixed
Statistik_UTKU_UT_Avslutade_UT004.json,3861,int
Statistik_UTKU_UT_Studerande utanför ax_UT036.json,4608,int
Utredning_Utbildning och arbetsmarknad 2035_POPACOH.json,3060,int
Statistik_INLO_LO_LO010.json,2268,int
Statistik_VA_VA001.json,7992,mixed
"Statistik_TUTRSJ_SJ_Handelsflottan, sysselsättning, resande_SJ011.json",104,int
Statistik_UTKU_UT_Grundskolan_UT001.json,25056,int
Utredning_Äldre utredningar eller scenarier_Scenarier2013_BE_POPDIS.json,13968,int
Statistik_UTKU_UT_Avslutade_UT012.json,23562,int
Utredning_Äldre utredningar eller scenarier_Scenarier2013_AR_GDP1.json,576,mixed
Statistik_INLO_IN_Avslutade_IN006bort.json,864,mixed
Statistik_OF_Avslutade_OF009.json,46,mixed
Statistik_UTKU_UT_Utb efter grundskolan_Gymnasienivå_UT051.json,1638,int
Statistik_NA_Socialräkenskapsmatriser_SAM2015.json,4761,mixed
Statistik_FOHA_FI_FI001.json,253,int
Statistik_TUTRSJ_TR_TR012.json,168,int
Statistik_BE_Befolkningens storlek och struktur_BE035.json,91260,int
Statistik_MI_MI010.json,1632,mixed
Statistik_NA_Konsumtion_NA036.json,330,mixed
Statistik_BE_Befolkningsrörelsen_BE027.json,14994,int
Utredning_Äldre utredningar eller scenarier_Scenarier2013_AR_EXTRECRFED.json,1440,mixed
Statistik_FOHA_HA_Avslutade_HA032.json,90,int
Statistik_SO_SO013.json,320,int
Statistik_BE_Befolkningsrörelsen_BE031.json,336,int
Statistik_BOBY_BO_Avslutade_BO002.json,2992,int
asub_api_structure.json,0,empty
Statistik_SO_SO005.json,891,int
Statistik_FOHA_HA_Avslutade_HA024.json,120,mixed
Statistik_KO_KO000.json,520,mixed
Statistik_MI_ASUB_SDG.json,14212,mixed
Statistik_NA_Bruttonationalprodukt_NA039.json,3360,mixed
Statistik_TUTRSJ_TR_TR008.json,900,int
Statistik_FOHA_HA_Avslutade_HA004.json,252,mixed
Utredning_Utbildning och arbetsmarknad 2035_POPTOT.json,102,int
Statistik_OF_1. Kommunernas och kommunalförbundens rapporterade ekonomiuppgifter_1.3 Driftsekonomi_OF034.json,903,int
Utredning_Utbildning och arbetsmarknad 2035_GDP2.json,2040,mixed
Utredning_Äldre utredningar eller scenarier_Scenarier2013_AR_UNEMPRO.json,144,mixed
Utredning_Utbildning och arbetsmarknad 2035_POPAGEM.json,1224,int
Statistik_TUTRSJ_TU_Inresande_TU005.json,3328,int
Statistik_FOHA_FO_Avslutade_FO003.json,1280,int
Statistik_BE_Befolkningens storlek och struktur_BE039.json,4420,int
